id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex
1,2017,Hyderabad,5/4/17,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,,30.39,37.76,25.79,0.77,1012.8,3.49,251,0.34,5
2,2017,Pune,6/4/17,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,,34.96,34.96,11.5,0.24,1004,1.5,290,0.13,1
3,2017,Rajkot,7/4/17,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,,34.15,34.15,4.6,0.16,1009.5,1.5,270,0,9
4,2017,Indore,8/4/17,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,,33.2,33.2,-2,0.1,1009.8,3.58,66,0,11
5,2017,Bangalore,8/4/17,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,KM Jadhav,M Chinnaswamy Stadium,,,,35.48,35.43,13.81,0.27,NA,3.06,99,0.55,7
6,2017,Hyderabad,9/4/17,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,,32.69,32.69,16.01,0.37,1012.2,2.53,334,0,6
7,2017,Mumbai,9/4/17,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,,35.64,41.8,23.29,0.49,1006.6,6.09,304,0,10
8,2017,Indore,10/4/17,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,,33.56,33.56,-1.94,0.1,1011,4.92,63,0,11
9,2017,Pune,11/4/17,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Delhi Daredevils,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,,38.34,38.34,1.81,0.1,1004.7,0.5,230,0,9
10,2017,Mumbai,12/4/17,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,,32.1,40.58,25.76,0.69,NA,2.68,199,0.2,6
11,2017,Kolkata,13/4/17,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,,32.03,36.14,22.33,0.57,NA,5.5,184,0.19,8
12,2017,Bangalore,14/4/17,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,,27.84,28.99,18.92,0.59,NA,3.27,230,0,8
13,2017,Rajkot,14/4/17,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,,35.35,35.35,0.39,0.11,1006.5,2.09,270,0,0
14,2017,Kolkata,15/4/17,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong,,31.21,34.65,21.85,0.59,1007.9,6.24,220,0.45,7
15,2017,Delhi,15/4/17,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Delhi Daredevils,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,,39.73,39.73,11.37,0.18,1000.5,3.86,311,0.04,8
16,2017,Mumbai,16/4/17,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,,32.23,37.04,22.95,0.58,1010.7,1.86,351,0,6
17,2017,Bangalore,16/4/17,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin,,34.51,34.63,16,0.33,NA,2.13,204,0.45,8
18,2017,Delhi,17/4/17,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,,32.19,33.28,18.26,0.44,NA,2.21,94,0,7
19,2017,Hyderabad,17/4/17,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh,,30.94,40.11,26.5,0.77,1007.9,5.4,283,0.2,9
20,2017,Rajkot,18/4/17,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma,,39.59,39.59,4.68,0.12,1006.6,4.47,274,0,10
21,2017,Hyderabad,19/4/17,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,,31.31,35.43,22.59,0.6,1011.3,4.62,301,0.26,6
22,2017,Indore,20/4/17,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin,,36.12,36.12,4.87,0.14,1003.5,8.26,270,0,10
23,2017,Kolkata,21/4/17,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,4,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon,,32.87,39.52,24.37,0.61,1006.2,9.39,224,0.43,7
24,2017,Mumbai,22/4/17,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi,,30.83,35.73,23.42,0.65,1012.9,3.34,221,0.45,5
25,2017,Pune,22/4/17,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,6,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,,28.04,28.66,17.2,0.52,1008.4,1.5,270,0,0
26,2017,Rajkot,23/4/17,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings XI Punjab,26,0,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus,,36.88,36.88,12.4,0.23,1006.5,2.6,251,0,9
27,2017,Kolkata,23/4/17,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,82,0,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan,,34.32,44.9,26.53,0.64,1003.4,4.51,236,0.45,6
28,2017,Mumbai,24/4/17,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,3,0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi,,31.36,34.97,21.96,0.57,1013.2,2.73,292,0.34,6
29,2017,Pune,26/4/17,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong,,37.56,37.56,4.6,0.13,1005.1,1.5,110,0.25,8
30,2017,Bangalore,27/4/17,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin,,28.98,31.84,21.8,0.66,NA,3.26,204,0.43,6
31,2017,Kolkata,28/4/17,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,G Gambhir,Eden Gardens,NJ Llong,S Ravi,,32.55,40.45,25.39,0.66,1008.8,4.81,269,0.43,7
32,2017,Chandigarh,28/4/17,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan,,36.9,36.9,6.79,0.16,1001.9,1.59,311,0.13,1
33,2017,Pune,29/4/17,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,61,0,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,M Erasmus,,37.84,37.84,4.19,0.13,1005.8,1,320,0.38,7
34,2017,Rajkot,29/4/17,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,0,Mumbai Indians,0,0,KH Pandya,Saurashtra Cricket Association Stadium,AK Chaudhary,CB Gaffaney,,37.76,40.5,19.3,0.34,1006.3,3.1,290,0,1
35,2017,Chandigarh,30/4/17,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,10,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde,CK Nandan,,31.93,31.93,9.14,0.24,1007.9,5.82,359,0.45,8
